text,rating,comment
"Elon Musk is a piece of shit, greedy capitalist who exploits workers, and offers nothing of real benefit to the world.
 All heâ€™s done is make a name for himself on the backs of other people, using dirty money from his familyâ€™s emerald mine they acquired during apartheid.
 I donâ€™t care that heâ€™s autistic. He thinks we should be cured with his companyâ€™s AI chip. 
 He is not a representation of our community. Donâ€™t celebrate him on this page.",40,"While the content could be true, and good overall, it's not said in the most professional way."
The senile credit card shrill from Delaware needs to resign!!,30,Could be true but is an ad hominem attack and unprofessionally stated
"He does that a lot -- makes everyone look good but him...I guess it's also probably the Dems and the Media that force him to compulsively tweet abject bullshit like a lying bitch. They're tricky, them libs.",10,Could be true but unhelpful abjectly political unprofessionally stated and anthropomorphizes a group.
F*ck Lizzo,20,Succinct to the point and incredibly rude.
Epstein and trump were best buds!!! Pedophiles who play together!!,40,While the content could be true and good overall it's not said in the most professional way.
"WHY IN THE HELL
 Are we sending Biden out to a world meeting representing America??
 That diaper load doesn't represent anything regarding the support & protection of the Constitution and the citizens of our Country",40,Ameliorated but still abjectly political and ad hominem.
"Now we all know this is just another fantasy with hopeful thinking.... Biden is desperate to be pardoned from his sins but does he not know that the pope does not save a man only Jesus can do this!! This demented Biden has condoned the greatest atrocity of all time by allowing the murdering of innocent unborn babies. He has also left young men behind enemy lines to die with only a selfish motivations. He has also condemned innocent men, women and children to lives of poverty due to the unrelentless lies of this COVID-19 fiasco, taking livelihoods, health loss and death due to unverified and quickly released vaccines that do only harm and provide no solutions to the virus itself. This man was placed in a position to care for a nation of people and he has failed in every avenue intentionally because he has a personal agenda to single-handedly wreck this nation in order to bring on a socialist regime. He has gone against Godâ€™s people and itâ€™s persecuting them relentlessly which eventually will perpetuate and extend out into the world. If this pope is lying to the president about the way he is handling his affairs as a president then God help that pope as well because he is a liar. ï¿¼ï¿¼ï¿¼",25,Long and descriptive but fallacious religious and political.
WE MANAGED TO FIND AN ASSHOLE WHO'S A BIGGER SCUMBAG THAN CUOMO!,20,Mean comparison and political
"After all the leftist said and did to DT, you can take your disgraceful comment and shove it up your ***",30,Group and ad hominem but not as bad as possible
"This is for all you Crybaby Transpo-People , NYC Police and NYC Firefighters and Cry Baby I Think I'm all that and then some Airline Pilots ( # 1 you drive a BUS --lets get that straight ) 1 Weeks of training and Any Sesna Pilot can fly a Jet --Heck Even John Travolta and Indian Jones can Fly a Jet FOR REAL they can ...with that being said "" GET Covid Vaccinated - It's the LAW "" !!!You ALL NEED to Act like Grown Adults not a premature Sissy La La - GET the VACCINE and Like it..You Voted for Biden now Reap the Whirl-Wind of your actions ..Rough Travel you say ,,I say SORRY I don't wanna Fly Covid Airlines or I'm a lil Drunk Airlines ...",10,"Honestly rating this low due to how incoherent it is, more than how toxic anything is."
